Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
Src_001,B3,Dest_003,A1,101,0
Src_001,B2,Dest_001,B1,92,0
Src_002,E7,Dest_001,C1,99,0
Src_002,E3,Dest_003,D1,112,0
Src_002,D1,Dest_001,E1,80,0
Src_001,D7,Dest_003,F1,86,0
Src_001,C6,Dest_002,G1,92,0
Src_001,E1,Dest_001,H1,83,0
Src_002,D6,Dest_001,A2,106,0
Src_002,F7,Dest_003,B2,88,0
Src_001,E7,Dest_003,C2,106,0
Src_003,E5,Dest_002,D2,111,0
Src_003,E4,Dest_002,E2,90,0
Src_002,D8,Dest_001,F2,85,0
Src_003,C7,Dest_002,G2,119,0
Src_002,F6,Dest_003,H2,84,0
Src_003,A4,Dest_001,A3,106,0
Src_003,F3,Dest_003,B3,119,0
Src_003,F4,Dest_001,C3,103,0
Src_001,C1,Dest_003,D3,93,0
Src_003,E3,Dest_003,E3,114,0
Src_001,B3,Dest_003,F3,91,0
Src_003,D5,Dest_003,G3,95,0
Src_001,G8,Dest_002,H3,89,0
Src_002,F1,Dest_002,A4,99,0
Src_001,C3,Dest_003,B4,100,0
Src_002,G8,Dest_002,C4,113,0
Src_003,H7,Dest_002,D4,102,0
Src_002,B1,Dest_002,E4,115,0
Src_001,B6,Dest_001,F4,119,0
Src_001,F5,Dest_001,G4,120,0
Src_001,G8,Dest_002,H4,117,0
Src_001,A5,Dest_002,A5,92,0
Src_002,G8,Dest_003,B5,84,0
Src_003,H5,Dest_001,C5,104,0
Src_002,C8,Dest_003,D5,100,0
Src_001,B8,Dest_002,E5,111,0
Src_003,E7,Dest_002,F5,102,0
Src_001,A6,Dest_001,G5,118,0
Src_001,A2,Dest_002,H5,109,0
Src_002,E5,Dest_001,A6,100,0
Src_003,F3,Dest_002,B6,109,0
Src_003,F5,Dest_001,C6,107,0
Src_002,E4,Dest_002,D6,118,0
Src_002,G1,Dest_001,E6,88,0
Src_001,F7,Dest_001,F6,87,0
Src_002,H1,Dest_001,G6,117,0
Src_002,A5,Dest_001,H6,117,0
Src_001,D1,Dest_002,A7,105,0
Src_002,B4,Dest_001,B7,111,0
Src_001,F5,Dest_001,C7,80,0
Src_001,B6,Dest_003,D7,104,0
Src_003,C6,Dest_002,E7,103,0
Src_003,A3,Dest_001,F7,101,0
Src_002,F7,Dest_001,G7,96,0
Src_001,A3,Dest_003,H7,108,0
Src_002,C4,Dest_001,A8,81,0
Src_002,F2,Dest_002,B8,112,0
Src_002,E8,Dest_002,C8,93,0
Src_003,A3,Dest_003,D8,97,0
Src_002,F3,Dest_002,E8,92,0
Src_003,G6,Dest_001,F8,100,0
Src_002,F1,Dest_001,G8,110,0
Src_001,F3,Dest_002,A1,106,0
Src_002,F3,Dest_003,B1,104,0
Src_001,F5,Dest_003,C1,106,0
Src_002,A2,Dest_001,D1,114,0
Src_002,C8,Dest_002,E1,97,0
Src_003,A2,Dest_003,F1,102,0
Src_003,H3,Dest_001,G1,114,0
Src_003,F8,Dest_002,H1,118,0
Src_002,E4,Dest_002,A2,102,0
Src_001,H3,Dest_002,B2,117,0
Src_003,D3,Dest_001,C2,107,0
Src_002,B4,Dest_003,D2,96,0
Src_001,G6,Dest_002,E2,105,0
Src_003,F4,Dest_001,F2,89,0
Src_002,A4,Dest_003,G2,111,0
Src_003,E2,Dest_001,H2,119,0
Src_003,D8,Dest_001,A3,106,0
Src_002,G2,Dest_002,B3,107,0
Src_002,H2,Dest_001,C3,114,0
Src_003,G1,Dest_001,D3,110,0
Src_002,F1,Dest_001,E3,86,0
Src_002,D7,Dest_002,F3,107,0
Src_001,H2,Dest_001,G3,86,0
Src_002,D1,Dest_002,H3,117,0
Src_002,H6,Dest_003,A4,103,0
Src_001,D6,Dest_001,B4,80,0
Src_002,E7,Dest_002,C4,85,0
Src_003,A4,Dest_002,D4,108,0
Src_002,A5,Dest_003,E4,84,0
Src_003,F5,Dest_002,F4,112,0
Src_001,D5,Dest_001,G4,116,0
Src_002,E8,Dest_002,H4,97,0
Src_003,B7,Dest_001,A5,101,0
Src_002,H7,Dest_003,B5,94,0
Src_002,B3,Dest_003,C5,95,0
Src_003,E7,Dest_001,D5,106,0
Src_003,D3,Dest_001,E5,104,0
Src_003,C1,Dest_001,F5,103,0
Src_003,A5,Dest_001,G5,114,0
Src_001,G7,Dest_002,H5,85,0
Src_003,D4,Dest_002,A6,119,0
Src_002,D8,Dest_003,B6,84,0
Src_003,E2,Dest_002,C6,118,0
Src_001,F3,Dest_003,D6,86,0
Src_002,H4,Dest_002,E6,117,0
Src_003,D3,Dest_002,F6,86,0
Src_003,C5,Dest_001,G6,81,0
Src_002,F6,Dest_002,H6,110,0
Src_001,G8,Dest_001,A7,92,0
Src_003,C3,Dest_002,B7,96,0
Src_003,H3,Dest_001,C7,92,0
Src_002,F3,Dest_003,D7,87,0
Src_003,A1,Dest_002,E7,114,0
Src_003,A1,Dest_002,F7,99,0
Src_003,H3,Dest_001,G7,103,0
Src_001,H4,Dest_001,H7,98,0
Src_002,B8,Dest_002,A8,118,0
Src_002,E3,Dest_001,B8,82,0
Src_001,F6,Dest_003,C8,99,0
Src_003,G7,Dest_003,D8,113,0
Src_001,F7,Dest_002,E8,96,0
Src_001,D4,Dest_002,F8,99,0
Src_001,F5,Dest_001,G8,97,0
Src_001,F6,Dest_001,A1,104,0
Src_002,C1,Dest_002,B1,112,0
Src_001,H2,Dest_003,C1,88,0
Src_003,E2,Dest_002,D1,117,0
Src_001,D1,Dest_001,E1,106,0
Src_003,C8,Dest_002,F1,91,0
Src_002,E1,Dest_003,G1,107,0
Src_002,F6,Dest_001,H1,100,0
Src_003,C3,Dest_001,A2,118,0
Src_003,F8,Dest_003,B2,115,0
Src_002,G4,Dest_002,C2,86,0
Src_002,E8,Dest_001,D2,120,0
Src_001,D6,Dest_003,E2,114,0
Src_001,B5,Dest_002,F2,107,0
Src_002,G1,Dest_002,G2,82,0
Src_003,D8,Dest_003,H2,119,0
Src_001,B4,Dest_002,A3,110,0
Src_002,E4,Dest_002,B3,98,0
Src_001,H7,Dest_003,C3,85,0
Src_002,B1,Dest_003,D3,114,0
Src_001,F5,Dest_001,E3,96,0
Src_003,H4,Dest_003,F3,112,0
Src_002,D4,Dest_002,G3,105,0
Src_001,E1,Dest_001,H3,84,0
Src_003,D6,Dest_003,A4,96,0
Src_001,A3,Dest_003,B4,88,0
Src_003,C5,Dest_002,C4,93,0
Src_003,E5,Dest_001,D4,102,0
Src_001,A4,Dest_002,E4,83,0
Src_003,C8,Dest_003,F4,110,0
Src_001,B8,Dest_001,G4,112,0
Src_001,C1,Dest_002,H4,113,0
Src_002,A4,Dest_002,A5,83,0
Src_003,G8,Dest_001,B5,111,0
Src_003,F3,Dest_003,C5,82,0
Src_002,E8,Dest_003,D5,104,0
Src_003,D2,Dest_003,E5,80,0
Src_002,F5,Dest_003,F5,101,0
Src_003,A6,Dest_003,G5,114,0
Src_002,E6,Dest_001,H5,105,0
Src_003,A4,Dest_001,A6,92,0
Src_002,H6,Dest_002,B6,80,0
Src_003,E2,Dest_002,C6,115,0
Src_001,G5,Dest_003,D6,89,0
Src_001,F7,Dest_003,E6,96,0
Src_002,H1,Dest_002,F6,103,0
Src_001,G3,Dest_002,G6,104,0
Src_001,D7,Dest_003,H6,97,0
Src_003,C8,Dest_001,A7,95,0
Src_003,B6,Dest_002,B7,107,0
Src_003,H2,Dest_002,C7,81,0
Src_003,D7,Dest_001,D7,95,0
Src_002,C2,Dest_003,E7,99,0
Src_001,E4,Dest_001,F7,116,0
Src_001,B1,Dest_001,G7,120,0
Src_002,C6,Dest_001,H7,112,0
Src_002,D4,Dest_002,A8,120,0
Src_001,D1,Dest_003,B8,86,0
Src_003,E7,Dest_001,C8,99,0
Src_001,E5,Dest_001,D8,109,0
Src_001,A8,Dest_003,E8,83,0
Src_002,G8,Dest_002,F8,104,0
Src_003,A8,Dest_002,G8,98,0
