Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
Group51_A,E1,IL0 PCR Mix (Abgene#1127),A1,24.00,0.00
Group51_A,E1,IL0 PCR Mix (Abgene#1127),B1,24.00,0.00
Group51_A,E1,IL0 PCR Mix (Abgene#1127),C1,24.00,0.00
Group51_A,E1,IL0 PCR Mix (Abgene#1127),D1,24.00,0.00
Group51_A,E1,IL0 PCR Mix (Abgene#1127),E1,24.00,0.00
Group51_B,E1,IL0 PCR Mix (Abgene#1127),F1,24.00,0.00
Group51_B,E1,IL0 PCR Mix (Abgene#1127),G1,24.00,0.00
Group51_B,E1,IL0 PCR Mix (Abgene#1127),H1,24.00,0.00
Group51_B,E1,IL0 PCR Mix (Abgene#1127),A2,24.00,0.00
Group51_A,E2,IL0 PCR Mix (Abgene#1127),B2,24.00,0.00
Group51_A,E2,IL0 PCR Mix (Abgene#1127),C2,24.00,0.00
Group51_A,E2,IL0 PCR Mix (Abgene#1127),D2,24.00,0.00
Group51_A,E2,IL0 PCR Mix (Abgene#1127),E2,24.00,0.00
Group51_A,E2,IL0 PCR Mix (Abgene#1127),F2,24.00,0.00
Group51_B,E2,IL0 PCR Mix (Abgene#1127),G2,24.00,0.00
Group51_B,E2,IL0 PCR Mix (Abgene#1127),H2,24.00,0.00
Group51_B,E2,IL0 PCR Mix (Abgene#1127),A3,24.00,0.00
Group51_B,E2,IL0 PCR Mix (Abgene#1127),B3,24.00,0.00
Group51_A,A1,IL0 PCR Mix (Abgene#1127),C3,24.00,0.00
Group51_A,A1,IL0 PCR Mix (Abgene#1127),D3,24.00,0.00
Group51_A,A1,IL0 PCR Mix (Abgene#1127),E3,24.00,0.00
Group51_A,A1,IL0 PCR Mix (Abgene#1127),F3,24.00,0.00
Group51_A,A1,IL0 PCR Mix (Abgene#1127),G3,24.00,0.00
Group51_B,A1,IL0 PCR Mix (Abgene#1127),H3,24.00,0.00
Group51_B,A1,IL0 PCR Mix (Abgene#1127),A4,24.00,0.00
Group51_B,A1,IL0 PCR Mix (Abgene#1127),B4,24.00,0.00
Group51_B,A1,IL0 PCR Mix (Abgene#1127),C4,24.00,0.00
Group51_A,F3,IL0 PCR Mix (Abgene#1127),D4,24.00,0.00
Group51_A,F3,IL0 PCR Mix (Abgene#1127),E4,24.00,0.00
Group51_A,F3,IL0 PCR Mix (Abgene#1127),F4,24.00,0.00
Group51_A,F3,IL0 PCR Mix (Abgene#1127),G4,24.00,0.00
Group51_A,F3,IL0 PCR Mix (Abgene#1127),H4,24.00,0.00
Group51_B,F3,IL0 PCR Mix (Abgene#1127),A5,24.00,0.00
Group51_B,F3,IL0 PCR Mix (Abgene#1127),B5,24.00,0.00
Group51_B,F3,IL0 PCR Mix (Abgene#1127),C5,24.00,0.00
Group51_B,F3,IL0 PCR Mix (Abgene#1127),D5,24.00,0.00
Group51_A,A4,IL0 PCR Mix (Abgene#1127),E5,24.00,0.00
Group51_A,A4,IL0 PCR Mix (Abgene#1127),F5,24.00,0.00
Group51_A,A4,IL0 PCR Mix (Abgene#1127),G5,24.00,0.00
Group51_A,A4,IL0 PCR Mix (Abgene#1127),H5,24.00,0.00
Group51_A,A4,IL0 PCR Mix (Abgene#1127),A6,24.00,0.00
Group51_B,A4,IL0 PCR Mix (Abgene#1127),B6,24.00,0.00
Group51_B,A4,IL0 PCR Mix (Abgene#1127),C6,24.00,0.00
Group51_B,A4,IL0 PCR Mix (Abgene#1127),D6,24.00,0.00
Group51_B,A4,IL0 PCR Mix (Abgene#1127),E6,24.00,0.00
Group51_A,A3,IL0 PCR Mix (Abgene#1127),F6,24.00,0.00
Group51_A,A3,IL0 PCR Mix (Abgene#1127),G6,24.00,0.00
Group51_A,A3,IL0 PCR Mix (Abgene#1127),H6,24.00,0.00
Group51_A,A3,IL0 PCR Mix (Abgene#1127),A7,24.00,0.00
Group51_A,A3,IL0 PCR Mix (Abgene#1127),B7,24.00,0.00
Group51_B,A3,IL0 PCR Mix (Abgene#1127),C7,24.00,0.00
Group51_B,A3,IL0 PCR Mix (Abgene#1127),D7,24.00,0.00
Group51_B,A3,IL0 PCR Mix (Abgene#1127),E7,24.00,0.00
Group51_B,A3,IL0 PCR Mix (Abgene#1127),F7,24.00,0.00
Group51_A,B2,IL0 PCR Mix (Abgene#1127),G7,24.00,0.00
Group51_A,B2,IL0 PCR Mix (Abgene#1127),H7,24.00,0.00
Group51_A,B2,IL0 PCR Mix (Abgene#1127),A8,24.00,0.00
Group51_A,B2,IL0 PCR Mix (Abgene#1127),B8,24.00,0.00
Group51_A,B2,IL0 PCR Mix (Abgene#1127),C8,24.00,0.00
Group51_B,B2,IL0 PCR Mix (Abgene#1127),D8,24.00,0.00
Group51_B,B2,IL0 PCR Mix (Abgene#1127),E8,24.00,0.00
Group51_B,B2,IL0 PCR Mix (Abgene#1127),F8,24.00,0.00
Group51_B,B2,IL0 PCR Mix (Abgene#1127),G8,24.00,0.00
Group51_A,F1,IL0 PCR Mix (Abgene#1127),A1,24.00,0.00
Group51_A,F1,IL0 PCR Mix (Abgene#1127),B1,24.00,0.00
Group51_A,F1,IL0 PCR Mix (Abgene#1127),C1,24.00,0.00
Group51_A,F1,IL0 PCR Mix (Abgene#1127),D1,24.00,0.00
Group51_A,F1,IL0 PCR Mix (Abgene#1127),E1,24.00,0.00
Group51_B,F1,IL0 PCR Mix (Abgene#1127),F1,24.00,0.00
Group51_B,F1,IL0 PCR Mix (Abgene#1127),G1,24.00,0.00
Group51_B,F1,IL0 PCR Mix (Abgene#1127),H1,24.00,0.00
Group51_B,F1,IL0 PCR Mix (Abgene#1127),A2,24.00,0.00
Group51_A,F2,IL0 PCR Mix (Abgene#1127),B2,24.00,0.00
Group51_A,F2,IL0 PCR Mix (Abgene#1127),C2,24.00,0.00
Group51_A,F2,IL0 PCR Mix (Abgene#1127),D2,24.00,0.00
Group51_A,F2,IL0 PCR Mix (Abgene#1127),E2,24.00,0.00
Group51_A,F2,IL0 PCR Mix (Abgene#1127),F2,24.00,0.00
Group51_B,F2,IL0 PCR Mix (Abgene#1127),G2,24.00,0.00
Group51_B,F2,IL0 PCR Mix (Abgene#1127),H2,24.00,0.00
Group51_B,F2,IL0 PCR Mix (Abgene#1127),A3,24.00,0.00
Group51_B,F2,IL0 PCR Mix (Abgene#1127),B3,24.00,0.00
Group51_A,B1,IL0 PCR Mix (Abgene#1127),C3,24.00,0.00
Group51_A,B1,IL0 PCR Mix (Abgene#1127),D3,24.00,0.00
Group51_A,B1,IL0 PCR Mix (Abgene#1127),E3,24.00,0.00
Group51_A,B1,IL0 PCR Mix (Abgene#1127),F3,24.00,0.00
Group51_A,B1,IL0 PCR Mix (Abgene#1127),G3,24.00,0.00
Group51_B,B1,IL0 PCR Mix (Abgene#1127),H3,24.00,0.00
Group51_B,B1,IL0 PCR Mix (Abgene#1127),A4,24.00,0.00
Group51_B,B1,IL0 PCR Mix (Abgene#1127),B4,24.00,0.00
Group51_B,B1,IL0 PCR Mix (Abgene#1127),C4,24.00,0.00
Group51_A,E3,IL0 PCR Mix (Abgene#1127),D4,24.00,0.00
Group51_A,E3,IL0 PCR Mix (Abgene#1127),E4,24.00,0.00
Group51_A,E3,IL0 PCR Mix (Abgene#1127),F4,24.00,0.00
Group51_A,E3,IL0 PCR Mix (Abgene#1127),G4,24.00,0.00
Group51_A,E3,IL0 PCR Mix (Abgene#1127),H4,24.00,0.00
Group51_B,E3,IL0 PCR Mix (Abgene#1127),A5,24.00,0.00
Group51_B,E3,IL0 PCR Mix (Abgene#1127),B5,24.00,0.00
Group51_B,E3,IL0 PCR Mix (Abgene#1127),C5,24.00,0.00
Group51_B,E3,IL0 PCR Mix (Abgene#1127),D5,24.00,0.00
Group51_A,B4,IL0 PCR Mix (Abgene#1127),E5,24.00,0.00
Group51_A,B4,IL0 PCR Mix (Abgene#1127),F5,24.00,0.00
Group51_A,B4,IL0 PCR Mix (Abgene#1127),G5,24.00,0.00
Group51_A,B4,IL0 PCR Mix (Abgene#1127),H5,24.00,0.00
Group51_A,B4,IL0 PCR Mix (Abgene#1127),A6,24.00,0.00
Group51_B,B4,IL0 PCR Mix (Abgene#1127),B6,24.00,0.00
