Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
Group51_PCR,A1,IL0 PCR Mix (Abgene#1127),A1,50,0
Group51_PCR,B1,IL0 PCR Mix (Abgene#1127),B1,50,0
Group51_PCR,C1,IL0 PCR Mix (Abgene#1127),C1,50,0
Group51_PCR,D1,IL0 PCR Mix (Abgene#1127),D1,50,0
Group51_PCR,E1,IL0 PCR Mix (Abgene#1127),E1,50,0
Group51_PCR,F1,IL0 PCR Mix (Abgene#1127),F1,50,0
Group51_PCR,G1,IL0 PCR Mix (Abgene#1127),G1,50,0
Group51_PCR,H1,IL0 PCR Mix (Abgene#1127),H1,50,0
Group51_PCR,A2,IL0 PCR Mix (Abgene#1127),A2,50,0
Group51_PCR,B2,IL0 PCR Mix (Abgene#1127),B2,50,0
Group51_PCR,C2,IL0 PCR Mix (Abgene#1127),C2,50,0
Group51_PCR,D2,IL0 PCR Mix (Abgene#1127),D2,50,0
Group51_PCR,E2,IL0 PCR Mix (Abgene#1127),E2,50,0
Group51_PCR,F2,IL0 PCR Mix (Abgene#1127),F2,50,0
Group51_PCR,G2,IL0 PCR Mix (Abgene#1127),G2,50,0
Group51_PCR,H2,IL0 PCR Mix (Abgene#1127),H2,50,0
Group51_PCR,A3,IL0 PCR Mix (Abgene#1127),A3,50,0
Group51_PCR,B3,IL0 PCR Mix (Abgene#1127),B3,50,0
Group51_PCR,C3,IL0 PCR Mix (Abgene#1127),C3,50,0
Group51_PCR,D3,IL0 PCR Mix (Abgene#1127),D3,50,0
Group51_PCR,E3,IL0 PCR Mix (Abgene#1127),E3,50,0
Group51_PCR,F3,IL0 PCR Mix (Abgene#1127),F3,50,0
Group51_PCR,G3,IL0 PCR Mix (Abgene#1127),G3,50,0
Group51_PCR,H3,IL0 PCR Mix (Abgene#1127),H3,50,0
Group51_PCR,A4,IL0 PCR Mix (Abgene#1127),A4,50,0
Group51_PCR,B4,IL0 PCR Mix (Abgene#1127),B4,50,0
Group51_PCR,C4,IL0 PCR Mix (Abgene#1127),C4,50,0
Group51_PCR,D4,IL0 PCR Mix (Abgene#1127),D4,50,0
Group51_PCR,E4,IL0 PCR Mix (Abgene#1127),E4,50,0
Group51_PCR,F4,IL0 PCR Mix (Abgene#1127),F4,50,0
Group51_PCR,G4,IL0 PCR Mix (Abgene#1127),G4,50,0
Group51_PCR,H4,IL0 PCR Mix (Abgene#1127),H4,50,0
Group51_PCR,A5,IL0 PCR Mix (Abgene#1127),A5,50,0
Group51_PCR,B5,IL0 PCR Mix (Abgene#1127),B5,50,0
Group51_PCR,C5,IL0 PCR Mix (Abgene#1127),C5,50,0
Group51_PCR,D5,IL0 PCR Mix (Abgene#1127),D5,50,0
Group51_PCR,E5,IL0 PCR Mix (Abgene#1127),E5,50,0
Group51_PCR,F5,IL0 PCR Mix (Abgene#1127),F5,50,0
Group51_PCR,G5,IL0 PCR Mix (Abgene#1127),G5,50,0
Group51_PCR,H5,IL0 PCR Mix (Abgene#1127),H5,50,0
Group51_PCR,A6,IL0 PCR Mix (Abgene#1127),A6,50,0
Group51_PCR,B6,IL0 PCR Mix (Abgene#1127),B6,50,0
Group51_PCR,C6,IL0 PCR Mix (Abgene#1127),C6,50,0
Group51_PCR,D6,IL0 PCR Mix (Abgene#1127),D6,50,0
Group51_PCR,E6,IL0 PCR Mix (Abgene#1127),E6,50,0
Group51_PCR,F6,IL0 PCR Mix (Abgene#1127),F6,50,0
Group51_PCR,G6,IL0 PCR Mix (Abgene#1127),G6,50,0
Group51_PCR,H6,IL0 PCR Mix (Abgene#1127),H6,50,0
Group51_PCR,A7,IL0 PCR Mix (Abgene#1127),A7,50,0
Group51_PCR,B7,IL0 PCR Mix (Abgene#1127),B7,50,0
Group51_PCR,C7,IL0 PCR Mix (Abgene#1127),C7,50,0
Group51_PCR,D7,IL0 PCR Mix (Abgene#1127),D7,50,0
Group51_PCR,E7,IL0 PCR Mix (Abgene#1127),E7,50,0
Group51_PCR,F7,IL0 PCR Mix (Abgene#1127),F7,50,0
Group51_PCR,G7,IL0 PCR Mix (Abgene#1127),G7,50,0
Group51_PCR,H7,IL0 PCR Mix (Abgene#1127),H7,50,0
Group51_PCR,A8,IL0 PCR Mix (Abgene#1127),A8,50,0
Group51_PCR,B8,IL0 PCR Mix (Abgene#1127),B8,50,0
Group51_PCR,C8,IL0 PCR Mix (Abgene#1127),C8,50,0
Group51_PCR,D8,IL0 PCR Mix (Abgene#1127),D8,50,0
Group51_PCR,E8,IL0 PCR Mix (Abgene#1127),E8,50,0
Group51_PCR,F8,IL0 PCR Mix (Abgene#1127),F8,50,0
Group51_PCR,G8,IL0 PCR Mix (Abgene#1127),G8,50,0
Group51_PCR,H8,IL0 PCR Mix (Abgene#1127),H8,50,0
Group51_PCR,A9,IL0 PCR Mix (Abgene#1127),A9,50,0
Group51_PCR,B9,IL0 PCR Mix (Abgene#1127),B9,50,0
Group51_PCR,C9,IL0 PCR Mix (Abgene#1127),C9,50,0
Group51_PCR,D9,IL0 PCR Mix (Abgene#1127),D9,50,0
Group51_PCR,E9,IL0 PCR Mix (Abgene#1127),E9,50,0
Group51_PCR,F9,IL0 PCR Mix (Abgene#1127),F9,50,0
Group51_PCR,G9,IL0 PCR Mix (Abgene#1127),G9,50,0
Group51_PCR,H9,IL0 PCR Mix (Abgene#1127),H9,50,0
Group51_PCR,A10,IL0 PCR Mix (Abgene#1127),A10,50,0
Group51_PCR,B10,IL0 PCR Mix (Abgene#1127),B10,50,0
Group51_PCR,C10,IL0 PCR Mix (Abgene#1127),C10,50,0
Group51_PCR,D10,IL0 PCR Mix (Abgene#1127),D10,50,0
Group51_PCR,E10,IL0 PCR Mix (Abgene#1127),E10,50,0
Group51_PCR,F10,IL0 PCR Mix (Abgene#1127),F10,50,0
Group51_PCR,G10,IL0 PCR Mix (Abgene#1127),G10,50,0
Group51_PCR,H10,IL0 PCR Mix (Abgene#1127),H10,50,0
Group51_PCR,A11,IL0 PCR Mix (Abgene#1127),A11,50,0
Group51_PCR,B11,IL0 PCR Mix (Abgene#1127),B11,50,0
Group51_PCR,C11,IL0 PCR Mix (Abgene#1127),C11,50,0
Group51_PCR,D11,IL0 PCR Mix (Abgene#1127),D11,50,0
Group51_PCR,E11,IL0 PCR Mix (Abgene#1127),E11,50,0
Group51_PCR,F11,IL0 PCR Mix (Abgene#1127),F11,50,0
Group51_PCR,G11,IL0 PCR Mix (Abgene#1127),G11,50,0
Group51_PCR,H11,IL0 PCR Mix (Abgene#1127),H11,50,0
Group51_PCR,A12,IL0 PCR Mix (Abgene#1127),A12,50,0
Group51_PCR,B12,IL0 PCR Mix (Abgene#1127),B12,50,0
Group51_PCR,C12,IL0 PCR Mix (Abgene#1127),C12,50,0
Group51_PCR,D12,IL0 PCR Mix (Abgene#1127),D12,50,0
Group51_PCR,E12,IL0 PCR Mix (Abgene#1127),E12,50,0
Group51_PCR,F12,IL0 PCR Mix (Abgene#1127),F12,50,0
Group51_PCR,G12,IL0 PCR Mix (Abgene#1127),G12,50,0
Group51_PCR,H12,IL0 PCR Mix (Abgene#1127),H12,50,0
