Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
Group51_PCR_1,A1,IL0 PCR Mix_2,A1,199,0
Group51_PCR_1,B1,IL0 PCR Mix_5,B1,351,0
Group51_PCR_1,C1,IL0 PCR Mix_1,C1,144,0
Group51_PCR_1,D1,IL0 PCR Mix_5,D1,49,0
Group51_PCR_1,E1,IL0 PCR Mix_3,E1,21,0
Group51_PCR_1,F1,IL0 PCR Mix_4,F1,366,0
Group51_PCR_1,G1,IL0 PCR Mix_4,G1,76,0
Group51_PCR_1,H1,IL0 PCR Mix_1,H1,20,0
Group51_PCR_1,A2,IL0 PCR Mix_4,A2,370,0
Group51_PCR_1,B2,IL0 PCR Mix_1,B2,181,0
Group51_PCR_1,C2,IL0 PCR Mix_1,C2,86,0
Group51_PCR_1,D2,IL0 PCR Mix_4,D2,353,0
Group51_PCR_1,E2,IL0 PCR Mix_2,E2,396,0
Group51_PCR_1,F2,IL0 PCR Mix_5,F2,321,0
Group51_PCR_1,G2,IL0 PCR Mix_1,G2,106,0
Group51_PCR_1,H2,IL0 PCR Mix_1,H2,113,0
Group51_PCR_1,A3,IL0 PCR Mix_1,A3,133,0
Group51_PCR_1,B3,IL0 PCR Mix_4,B3,20,0
Group51_PCR_1,C3,IL0 PCR Mix_4,C3,350,0
Group51_PCR_1,D3,IL0 PCR Mix_3,D3,152,0
Group51_PCR_1,E3,IL0 PCR Mix_2,E3,221,0
Group51_PCR_1,F3,IL0 PCR Mix_2,F3,332,0
Group51_PCR_1,G3,IL0 PCR Mix_4,G3,264,0
Group51_PCR_1,H3,IL0 PCR Mix_1,H3,393,0
Group51_PCR_1,A4,IL0 PCR Mix_3,A4,368,0
Group51_PCR_1,B4,IL0 PCR Mix_4,B4,30,0
Group51_PCR_1,C4,IL0 PCR Mix_3,C4,408,0
Group51_PCR_1,D4,IL0 PCR Mix_2,D4,27,0
Group51_PCR_1,E4,IL0 PCR Mix_5,E4,26,0
Group51_PCR_1,F4,IL0 PCR Mix_3,F4,44,0
Group51_PCR_1,G4,IL0 PCR Mix_4,G4,157,0
Group51_PCR_1,H4,IL0 PCR Mix_4,H4,53,0
Group51_PCR_1,A5,IL0 PCR Mix_2,A5,118,0
Group51_PCR_1,B5,IL0 PCR Mix_1,B5,193,0
Group51_PCR_1,C5,IL0 PCR Mix_4,C5,45,0
Group51_PCR_1,D5,IL0 PCR Mix_2,D5,311,0
Group51_PCR_1,E5,IL0 PCR Mix_1,E5,397,0
Group51_PCR_1,F5,IL0 PCR Mix_3,F5,30,0
Group51_PCR_1,G5,IL0 PCR Mix_3,G5,257,0
Group51_PCR_1,H5,IL0 PCR Mix_2,H5,393,0
Group51_PCR_1,A6,IL0 PCR Mix_1,A6,300,0
Group51_PCR_1,B6,IL0 PCR Mix_5,B6,344,0
Group51_PCR_1,C6,IL0 PCR Mix_1,C6,95,0
Group51_PCR_1,D6,IL0 PCR Mix_3,D6,47,0
Group51_PCR_1,E6,IL0 PCR Mix_5,E6,35,0
Group51_PCR_1,F6,IL0 PCR Mix_5,F6,295,0
Group51_PCR_1,G6,IL0 PCR Mix_3,G6,411,0
Group51_PCR_1,H6,IL0 PCR Mix_4,H6,300,0
Group51_PCR_1,A7,IL0 PCR Mix_2,A7,205,0
Group51_PCR_1,B7,IL0 PCR Mix_3,B7,375,0
Group51_PCR_1,C7,IL0 PCR Mix_1,C7,398,0
Group51_PCR_1,D7,IL0 PCR Mix_2,D7,38,0
Group51_PCR_1,E7,IL0 PCR Mix_5,E7,182,0
Group51_PCR_1,F7,IL0 PCR Mix_4,F7,36,0
Group51_PCR_1,G7,IL0 PCR Mix_4,G7,44,0
Group51_PCR_1,H7,IL0 PCR Mix_2,H7,93,0
Group51_PCR_1,A8,IL0 PCR Mix_3,A8,355,0
Group51_PCR_1,B8,IL0 PCR Mix_2,B8,46,0
Group51_PCR_1,C8,IL0 PCR Mix_5,C8,387,0
Group51_PCR_1,D8,IL0 PCR Mix_5,D8,195,0
Group51_PCR_1,E8,IL0 PCR Mix_4,E8,341,0
Group51_PCR_1,F8,IL0 PCR Mix_4,F8,46,0
Group51_PCR_1,G8,IL0 PCR Mix_2,G8,200,0
Group51_PCR_1,H8,IL0 PCR Mix_3,H8,381,0
Group51_PCR_1,A9,IL0 PCR Mix_2,A9,406,0
Group51_PCR_1,B9,IL0 PCR Mix_2,B9,345,0
Group51_PCR_1,C9,IL0 PCR Mix_2,C9,417,0
Group51_PCR_1,D9,IL0 PCR Mix_3,D9,23,0
Group51_PCR_1,E9,IL0 PCR Mix_5,E9,31,0
Group51_PCR_1,F9,IL0 PCR Mix_4,F9,70,0
Group51_PCR_1,G9,IL0 PCR Mix_1,G9,360,0
Group51_PCR_1,H9,IL0 PCR Mix_5,H9,283,0
Group51_PCR_1,A10,IL0 PCR Mix_1,A10,396,0
Group51_PCR_1,B10,IL0 PCR Mix_4,B10,33,0
Group51_PCR_1,C10,IL0 PCR Mix_1,C10,311,0
Group51_PCR_1,D10,IL0 PCR Mix_5,D10,390,0
Group51_PCR_1,E10,IL0 PCR Mix_1,E10,332,0
Group51_PCR_1,F10,IL0 PCR Mix_2,F10,101,0
Group51_PCR_1,G10,IL0 PCR Mix_1,G10,303,0
Group51_PCR_1,H10,IL0 PCR Mix_4,H10,32,0
Group51_PCR_1,A11,IL0 PCR Mix_3,A11,71,0
Group51_PCR_1,B11,IL0 PCR Mix_5,B11,114,0
Group51_PCR_1,C11,IL0 PCR Mix_4,C11,172,0
Group51_PCR_1,D11,IL0 PCR Mix_2,D11,37,0
Group51_PCR_1,E11,IL0 PCR Mix_2,E11,187,0
Group51_PCR_1,F11,IL0 PCR Mix_5,F11,355,0
Group51_PCR_1,G11,IL0 PCR Mix_4,G11,23,0
Group51_PCR_1,H11,IL0 PCR Mix_4,H11,45,0
Group51_PCR_1,A12,IL0 PCR Mix_4,A12,34,0
Group51_PCR_1,B12,IL0 PCR Mix_1,B12,318,0
Group51_PCR_1,C12,IL0 PCR Mix_4,C12,247,0
Group51_PCR_1,D12,IL0 PCR Mix_4,D12,48,0
Group51_PCR_1,E12,IL0 PCR Mix_2,E12,340,0
Group51_PCR_1,F12,IL0 PCR Mix_4,F12,37,0
Group51_PCR_1,G12,IL0 PCR Mix_5,G12,128,0
