Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
Group51_PCR_3,A1,IL0 PCR Mix (Abgene#1127),A1,50,0
Group51_PCR_4,B1,IL0 PCR Mix (Abgene#1127),B1,50,0
Group51_PCR_4,C1,IL0 PCR Mix (Abgene#1127),C1,50,0
Group51_PCR_5,D1,IL0 PCR Mix (Abgene#1127),D1,50,0
Group51_PCR_1,E1,IL0 PCR Mix (Abgene#1127),E1,50,0
Group51_PCR_4,F1,IL0 PCR Mix (Abgene#1127),F1,50,0
Group51_PCR_4,G1,IL0 PCR Mix (Abgene#1127),G1,50,0
Group51_PCR_3,H1,IL0 PCR Mix (Abgene#1127),H1,50,0
Group51_PCR_3,A2,IL0 PCR Mix (Abgene#1127),A2,50,0
Group51_PCR_4,B2,IL0 PCR Mix (Abgene#1127),B2,50,0
Group51_PCR_2,C2,IL0 PCR Mix (Abgene#1127),C2,50,0
Group51_PCR_3,D2,IL0 PCR Mix (Abgene#1127),D2,50,0
Group51_PCR_2,E2,IL0 PCR Mix (Abgene#1127),E2,50,0
Group51_PCR_4,F2,IL0 PCR Mix (Abgene#1127),F2,50,0
Group51_PCR_5,G2,IL0 PCR Mix (Abgene#1127),G2,50,0
Group51_PCR_3,H2,IL0 PCR Mix (Abgene#1127),H2,50,0
Group51_PCR_3,A3,IL0 PCR Mix (Abgene#1127),A3,50,0
Group51_PCR_5,B3,IL0 PCR Mix (Abgene#1127),B3,50,0
Group51_PCR_1,C3,IL0 PCR Mix (Abgene#1127),C3,50,0
Group51_PCR_4,D3,IL0 PCR Mix (Abgene#1127),D3,50,0
Group51_PCR_3,E3,IL0 PCR Mix (Abgene#1127),E3,50,0
Group51_PCR_4,F3,IL0 PCR Mix (Abgene#1127),F3,50,0
Group51_PCR_1,G3,IL0 PCR Mix (Abgene#1127),G3,50,0
Group51_PCR_3,H3,IL0 PCR Mix (Abgene#1127),H3,50,0
Group51_PCR_5,A4,IL0 PCR Mix (Abgene#1127),A4,50,0
Group51_PCR_4,B4,IL0 PCR Mix (Abgene#1127),B4,50,0
Group51_PCR_5,C4,IL0 PCR Mix (Abgene#1127),C4,50,0
Group51_PCR_5,D4,IL0 PCR Mix (Abgene#1127),D4,50,0
Group51_PCR_2,E4,IL0 PCR Mix (Abgene#1127),E4,50,0
Group51_PCR_3,F4,IL0 PCR Mix (Abgene#1127),F4,50,0
Group51_PCR_5,G4,IL0 PCR Mix (Abgene#1127),G4,50,0
Group51_PCR_2,H4,IL0 PCR Mix (Abgene#1127),H4,50,0
Group51_PCR_4,A5,IL0 PCR Mix (Abgene#1127),A5,50,0
Group51_PCR_2,B5,IL0 PCR Mix (Abgene#1127),B5,50,0
Group51_PCR_4,C5,IL0 PCR Mix (Abgene#1127),C5,50,0
Group51_PCR_3,D5,IL0 PCR Mix (Abgene#1127),D5,50,0
Group51_PCR_1,E5,IL0 PCR Mix (Abgene#1127),E5,50,0
Group51_PCR_1,F5,IL0 PCR Mix (Abgene#1127),F5,50,0
Group51_PCR_3,G5,IL0 PCR Mix (Abgene#1127),G5,50,0
Group51_PCR_1,H5,IL0 PCR Mix (Abgene#1127),H5,50,0
Group51_PCR_3,A6,IL0 PCR Mix (Abgene#1127),A6,50,0
Group51_PCR_5,B6,IL0 PCR Mix (Abgene#1127),B6,50,0
Group51_PCR_4,C6,IL0 PCR Mix (Abgene#1127),C6,50,0
Group51_PCR_3,D6,IL0 PCR Mix (Abgene#1127),D6,50,0
Group51_PCR_5,E6,IL0 PCR Mix (Abgene#1127),E6,50,0
Group51_PCR_5,F6,IL0 PCR Mix (Abgene#1127),F6,50,0
Group51_PCR_2,G6,IL0 PCR Mix (Abgene#1127),G6,50,0
Group51_PCR_5,H6,IL0 PCR Mix (Abgene#1127),H6,50,0
Group51_PCR_4,A7,IL0 PCR Mix (Abgene#1127),A7,50,0
Group51_PCR_1,B7,IL0 PCR Mix (Abgene#1127),B7,50,0
Group51_PCR_5,C7,IL0 PCR Mix (Abgene#1127),C7,50,0
Group51_PCR_5,D7,IL0 PCR Mix (Abgene#1127),D7,50,0
Group51_PCR_5,E7,IL0 PCR Mix (Abgene#1127),E7,50,0
Group51_PCR_4,F7,IL0 PCR Mix (Abgene#1127),F7,50,0
Group51_PCR_4,G7,IL0 PCR Mix (Abgene#1127),G7,50,0
Group51_PCR_1,H7,IL0 PCR Mix (Abgene#1127),H7,50,0
Group51_PCR_5,A8,IL0 PCR Mix (Abgene#1127),A8,50,0
Group51_PCR_2,B8,IL0 PCR Mix (Abgene#1127),B8,50,0
Group51_PCR_3,C8,IL0 PCR Mix (Abgene#1127),C8,50,0
Group51_PCR_1,D8,IL0 PCR Mix (Abgene#1127),D8,50,0
Group51_PCR_2,E8,IL0 PCR Mix (Abgene#1127),E8,50,0
Group51_PCR_2,F8,IL0 PCR Mix (Abgene#1127),F8,50,0
Group51_PCR_1,G8,IL0 PCR Mix (Abgene#1127),G8,50,0
Group51_PCR_5,H8,IL0 PCR Mix (Abgene#1127),H8,50,0
Group51_PCR_3,A9,IL0 PCR Mix (Abgene#1127),A9,50,0
Group51_PCR_2,B9,IL0 PCR Mix (Abgene#1127),B9,50,0
Group51_PCR_3,C9,IL0 PCR Mix (Abgene#1127),C9,50,0
Group51_PCR_1,D9,IL0 PCR Mix (Abgene#1127),D9,50,0
Group51_PCR_2,E9,IL0 PCR Mix (Abgene#1127),E9,50,0
Group51_PCR_1,F9,IL0 PCR Mix (Abgene#1127),F9,50,0
Group51_PCR_4,G9,IL0 PCR Mix (Abgene#1127),G9,50,0
Group51_PCR_4,H9,IL0 PCR Mix (Abgene#1127),H9,50,0
Group51_PCR_3,A10,IL0 PCR Mix (Abgene#1127),A10,50,0
Group51_PCR_5,B10,IL0 PCR Mix (Abgene#1127),B10,50,0
Group51_PCR_3,C10,IL0 PCR Mix (Abgene#1127),C10,50,0
Group51_PCR_1,D10,IL0 PCR Mix (Abgene#1127),D10,50,0
Group51_PCR_5,E10,IL0 PCR Mix (Abgene#1127),E10,50,0
Group51_PCR_4,F10,IL0 PCR Mix (Abgene#1127),F10,50,0
Group51_PCR_5,G10,IL0 PCR Mix (Abgene#1127),G10,50,0
Group51_PCR_1,H10,IL0 PCR Mix (Abgene#1127),H10,50,0
Group51_PCR_2,A11,IL0 PCR Mix (Abgene#1127),A11,50,0
Group51_PCR_5,B11,IL0 PCR Mix (Abgene#1127),B11,50,0
Group51_PCR_2,C11,IL0 PCR Mix (Abgene#1127),C11,50,0
Group51_PCR_3,D11,IL0 PCR Mix (Abgene#1127),D11,50,0
Group51_PCR_3,E11,IL0 PCR Mix (Abgene#1127),E11,50,0
Group51_PCR_4,F11,IL0 PCR Mix (Abgene#1127),F11,50,0
Group51_PCR_1,G11,IL0 PCR Mix (Abgene#1127),G11,50,0
Group51_PCR_5,H11,IL0 PCR Mix (Abgene#1127),H11,50,0
Group51_PCR_5,A12,IL0 PCR Mix (Abgene#1127),A12,50,0
Group51_PCR_4,B12,IL0 PCR Mix (Abgene#1127),B12,50,0
Group51_PCR_2,C12,IL0 PCR Mix (Abgene#1127),C12,50,0
Group51_PCR_4,D12,IL0 PCR Mix (Abgene#1127),D12,50,0
Group51_PCR_3,E12,IL0 PCR Mix (Abgene#1127),E12,50,0
Group51_PCR_2,F12,IL0 PCR Mix (Abgene#1127),F12,50,0
Group51_PCR_2,G12,IL0 PCR Mix (Abgene#1127),G12,50,0
