Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
Group51_A,E1,Destination,A1,24.00,0.00
Group51_A,E1,Destination,B1,24.00,0.00
Group51_A,E1,Destination,C1,24.00,0.00
Group51_A,E1,Destination,D1,24.00,0.00
Group51_A,E1,Destination,E1,24.00,0.00
Group51_A,E1,Destination,F1,24.00,0.00
Group51_A,E1,Destination,G1,24.00,0.00
Group51_A,E1,Destination,H1,24.00,0.00
Group51_A,E1,Destination,A2,24.00,0.00
Group51_A,E2,Destination,B2,24.00,0.00
Group51_A,E2,Destination,C2,24.00,0.00
Group51_A,E2,Destination,D2,24.00,0.00
Group51_A,E2,Destination,E2,24.00,0.00
Group51_A,E2,Destination,F2,24.00,0.00
Group51_A,E2,Destination,G2,24.00,0.00
Group51_A,E2,Destination,H2,24.00,0.00
Group51_A,E2,Destination,A3,24.00,0.00
Group51_A,E2,Destination,B3,24.00,0.00
Group51_A,A1,Destination,C3,24.00,0.00
Group51_A,A1,Destination,D3,24.00,0.00
Group51_A,A1,Destination,E3,24.00,0.00
Group51_A,A1,Destination,F3,24.00,0.00
Group51_A,A1,Destination,G3,24.00,0.00
Group51_A,A1,Destination,H3,24.00,0.00
Group51_A,A1,Destination,A4,24.00,0.00
Group51_A,A1,Destination,B4,24.00,0.00
Group51_A,A1,Destination,C4,24.00,0.00
Group51_A,F3,Destination,D4,24.00,0.00
Group51_A,F3,Destination,E4,24.00,0.00
Group51_A,F3,Destination,F4,24.00,0.00
Group51_A,F3,Destination,G4,24.00,0.00
Group51_A,F3,Destination,H4,24.00,0.00
Group51_A,F3,Destination,A5,24.00,0.00
Group51_A,F3,Destination,B5,24.00,0.00
Group51_A,F3,Destination,C5,24.00,0.00
Group51_A,F3,Destination,D5,24.00,0.00
Group51_A,A4,Destination,E5,24.00,0.00
Group51_A,A4,Destination,F5,24.00,0.00
Group51_A,A4,Destination,G5,24.00,0.00
Group51_A,A4,Destination,H5,24.00,0.00
Group51_A,A4,Destination,A6,24.00,0.00
Group51_A,A4,Destination,B6,24.00,0.00
Group51_A,A4,Destination,C6,24.00,0.00
Group51_A,A4,Destination,D6,24.00,0.00
Group51_A,A4,Destination,E6,24.00,0.00
Group51_A,A3,Destination,F6,24.00,0.00
Group51_A,A3,Destination,G6,24.00,0.00
Group51_A,A3,Destination,H6,24.00,0.00
Group51_A,A3,Destination,A7,24.00,0.00
Group51_A,A3,Destination,B7,24.00,0.00
Group51_A,A3,Destination,C7,24.00,0.00
Group51_A,A3,Destination,D7,24.00,0.00
Group51_A,A3,Destination,E7,24.00,0.00
Group51_A,A3,Destination,F7,24.00,0.00
Group51_A,B2,Destination,G7,24.00,0.00
Group51_A,B2,Destination,H7,24.00,0.00
Group51_A,B2,Destination,A8,24.00,0.00
Group51_A,B2,Destination,B8,24.00,0.00
Group51_A,B2,Destination,C8,24.00,0.00
Group51_A,B2,Destination,D8,24.00,0.00
Group51_A,B2,Destination,E8,24.00,0.00
Group51_A,B2,Destination,F8,24.00,0.00
Group51_A,B2,Destination,G8,24.00,0.00
Group51_A,F1,Destination,A1,24.00,0.00
Group51_A,F1,Destination,B1,24.00,0.00
Group51_A,F1,Destination,C1,24.00,0.00
Group51_A,F1,Destination,D1,24.00,0.00
Group51_A,F1,Destination,E1,24.00,0.00
Group51_A,F1,Destination,F1,24.00,0.00
Group51_A,F1,Destination,G1,24.00,0.00
Group51_A,F1,Destination,H1,24.00,0.00
Group51_A,F1,Destination,A2,24.00,0.00
Group51_A,F2,Destination,B2,24.00,0.00
Group51_A,F2,Destination,C2,24.00,0.00
Group51_A,F2,Destination,D2,24.00,0.00
Group51_A,F2,Destination,E2,24.00,0.00
Group51_A,F2,Destination,F2,24.00,0.00
Group51_A,F2,Destination,G2,24.00,0.00
Group51_A,F2,Destination,H2,24.00,0.00
Group51_A,F2,Destination,A3,24.00,0.00
Group51_A,F2,Destination,B3,24.00,0.00
Group51_A,B1,Destination,C3,24.00,0.00
Group51_A,B1,Destination,D3,24.00,0.00
Group51_A,B1,Destination,E3,24.00,0.00
Group51_A,B1,Destination,F3,24.00,0.00
Group51_A,B1,Destination,G3,24.00,0.00
Group51_A,B1,Destination,H3,24.00,0.00
Group51_A,B1,Destination,A4,24.00,0.00
Group51_A,B1,Destination,B4,24.00,0.00
Group51_A,B1,Destination,C4,24.00,0.00
Group51_A,E3,Destination,D4,24.00,0.00
Group51_A,E3,Destination,E4,24.00,0.00
Group51_A,E3,Destination,F4,24.00,0.00
Group51_A,E3,Destination,G4,24.00,0.00
Group51_A,E3,Destination,H4,24.00,0.00
Group51_A,E3,Destination,A5,24.00,0.00
Group51_A,E3,Destination,B5,24.00,0.00
Group51_A,E3,Destination,C5,24.00,0.00
Group51_A,E3,Destination,D5,24.00,0.00
Group51_A,B4,Destination,E5,24.00,0.00
Group51_A,B4,Destination,F5,24.00,0.00
Group51_A,B4,Destination,G5,24.00,0.00
Group51_A,B4,Destination,H5,24.00,0.00
Group51_A,B4,Destination,A6,24.00,0.00
Group51_A,B4,Destination,B6,24.00,0.00
Group51_A,B4,Destination,C6,24.00,0.00
Group51_A,B4,Destination,D6,24.00,0.00
Group51_A,B4,Destination,E6,24.00,0.00
Group51_A,B3,Destination,F6,24.00,0.00
Group51_A,B3,Destination,G6,24.00,0.00
Group51_A,B3,Destination,H6,24.00,0.00
Group51_A,B3,Destination,A7,24.00,0.00
Group51_A,B3,Destination,B7,24.00,0.00
Group51_A,B3,Destination,C7,24.00,0.00
Group51_A,B3,Destination,D7,24.00,0.00
Group51_A,B3,Destination,E7,24.00,0.00
Group51_A,B3,Destination,F7,24.00,0.00
Group51_A,A2,Destination,G7,24.00,0.00
Group51_A,A2,Destination,H7,24.00,0.00
Group51_A,A2,Destination,A8,24.00,0.00
Group51_A,A2,Destination,B8,24.00,0.00
Group51_A,A2,Destination,C8,24.00,0.00
Group51_A,A2,Destination,D8,24.00,0.00
Group51_A,A2,Destination,E8,24.00,0.00
Group51_A,A2,Destination,F8,24.00,0.00
Group51_A,A2,Destination,G8,24.00,0.00
gDNA,A1,Destination,A1,19.65,32.35
gDNA,B1,Destination,B1,20.26,31.74
gDNA,C1,Destination,C1,24.59,27.41
gDNA,D1,Destination,D1,21.73,30.27
gDNA,E1,Destination,E1,20.01,31.99
gDNA,F1,Destination,F1,19.74,32.26
gDNA,G1,Destination,G1,18.18,33.82
gDNA,H1,Destination,H1,16.38,35.62
gDNA,A2,Destination,A2,17.35,34.65
gDNA,B2,Destination,B2,19.34,32.66
gDNA,C2,Destination,C2,20.31,31.69
gDNA,D2,Destination,D2,18.43,33.57
gDNA,E2,Destination,E2,23.88,28.12
gDNA,F2,Destination,F2,20.29,31.71
gDNA,G2,Destination,G2,20.90,31.10
gDNA,H2,Destination,H2,16.39,35.61
gDNA,A3,Destination,A3,19.37,32.63
gDNA,B3,Destination,B3,18.12,33.88
gDNA,C3,Destination,C3,24.47,27.53
gDNA,D3,Destination,D3,23.65,28.35
gDNA,E3,Destination,E3,26.21,25.79
gDNA,F3,Destination,F3,17.05,34.95
gDNA,G3,Destination,G3,23.18,28.82
gDNA,H3,Destination,H3,29.20,22.80
gDNA,A4,Destination,A4,26.87,25.13
gDNA,B4,Destination,B4,23.67,28.33
gDNA,C4,Destination,C4,19.29,32.71
gDNA,D4,Destination,D4,20.24,31.76
gDNA,E4,Destination,E4,18.89,33.11
gDNA,F4,Destination,F4,18.80,33.20
gDNA,G4,Destination,G4,19.65,32.35
gDNA,H4,Destination,H4,16.34,35.66
gDNA,A5,Destination,A5,24.70,27.30
gDNA,B5,Destination,B5,18.28,33.72
gDNA,C5,Destination,C5,17.44,34.56
gDNA,D5,Destination,D5,16.31,35.69
gDNA,E5,Destination,E5,15.93,36.07
gDNA,F5,Destination,F5,18.65,33.35
gDNA,G5,Destination,G5,23.43,28.57
gDNA,H5,Destination,H5,25.62,26.38
gDNA,A6,Destination,A6,20.97,31.03
gDNA,B6,Destination,B6,23.77,28.23
gDNA,C6,Destination,C6,17.90,34.10
gDNA,D6,Destination,D6,17.66,34.34
gDNA,E6,Destination,E6,15.60,36.40
gDNA,F6,Destination,F6,27.26,24.74
gDNA,G6,Destination,G6,22.02,29.98
gDNA,H6,Destination,H6,26.52,25.48
gDNA,A7,Destination,A7,23.74,28.26
gDNA,B7,Destination,B7,17.83,34.17
gDNA,C7,Destination,C7,17.79,34.21
gDNA,D7,Destination,D7,15.74,36.26
gDNA,E7,Destination,E7,19.10,32.90
gDNA,F7,Destination,F7,15.83,36.17
gDNA,G7,Destination,G7,19.70,32.30
gDNA,H7,Destination,H7,20.02,31.98
gDNA,A8,Destination,A8,19.94,32.06
gDNA,B8,Destination,B8,21.97,30.03
gDNA,C8,Destination,C8,21.40,30.60
gDNA,D8,Destination,D8,20.61,31.39
gDNA,E8,Destination,E8,16.22,35.78
gDNA,F8,Destination,F8,18.29,33.71
gDNA,G8,Destination,G8,15.24,36.76
