Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
Source,A1,"62, 62",A1,418.00,0.00
Source,B1,"62, 62",B1,418.00,0.00
Source,C1,"62, 62",C1,418.00,0.00
Source,D1,"62, 62",D1,418.00,0.00
Source,E1,"62, 62",E1,418.00,0.00
Source,F1,"62, 62",F1,418.00,0.00
Source,G1,"62, 62",G1,418.00,0.00
Source,H1,"62, 62",H1,418.00,0.00
Source,A2,"62, 62",A2,418.00,0.00
Source,B2,"62, 62",B2,418.00,0.00
Source,C2,"62, 62",C2,418.00,0.00
Source,D2,"62, 62",D2,418.00,0.00
Source,E2,"62, 62",E2,418.00,0.00
Source,F2,"62, 62",F2,418.00,0.00
Source,G2,"62, 62",G2,418.00,0.00
Source,H2,"62, 62",H2,418.00,0.00
Source,A3,"62, 62",A3,418.00,0.00
Source,B3,"62, 62",B3,418.00,0.00
Source,C3,"62, 62",C3,418.00,0.00
Source,D3,"62, 62",D3,418.00,0.00
Source,E3,"62, 62",E3,418.00,0.00
Source,F3,"62, 62",F3,418.00,0.00
Source,G3,"62, 62",G3,418.00,0.00
Source,H3,"62, 62",H3,418.00,0.00
Source,A4,"62, 62",A4,418.00,0.00
Source,B4,"62, 62",B4,418.00,0.00
Source,C4,"62, 62",C4,418.00,0.00
Source,D4,"62, 62",D4,418.00,0.00
Source,E4,"62, 62",E4,418.00,0.00
Source,F4,"62, 62",F4,418.00,0.00
Source,G4,"62, 62",G4,418.00,0.00
Source,H4,"62, 62",H4,418.00,0.00
Source,A5,"62, 62",A5,418.00,0.00
Source,B5,"62, 62",B5,418.00,0.00
Source,C5,"62, 62",C5,418.00,0.00
Source,D5,"62, 62",D5,418.00,0.00
Source,E5,"62, 62",E5,418.00,0.00
Source,F5,"62, 62",F5,418.00,0.00
Source,G5,"62, 62",G5,418.00,0.00
Source,H5,"62, 62",H5,418.00,0.00
Source,A6,"62, 62",A6,418.00,0.00
Source,B6,"62, 62",B6,418.00,0.00
Source,C6,"62, 62",C6,418.00,0.00
Source,D6,"62, 62",D6,418.00,0.00
Source,E6,"62, 62",E6,418.00,0.00
Source,F6,"62, 62",F6,418.00,0.00
Source,G6,"62, 62",G6,418.00,0.00
Source,H6,"62, 62",H6,418.00,0.00
Source,A7,"62, 62",A7,418.00,0.00
Source,B7,"62, 62",B7,418.00,0.00
Source,C7,"62, 62",C7,418.00,0.00
Source,D7,"62, 62",D7,418.00,0.00
Source,E7,"62, 62",E7,418.00,0.00
Source,F7,"62, 62",F7,418.00,0.00
Source,G7,"62, 62",G7,418.00,0.00
Source,H7,"62, 62",H7,418.00,0.00
Source,A8,"62, 62",A8,418.00,0.00
Source,B8,"62, 62",B8,418.00,0.00
Source,C8,"62, 62",C8,418.00,0.00
Source,D8,"62, 62",D8,418.00,0.00
Source,E8,"62, 62",E8,418.00,0.00
Source,F8,"62, 62",F8,418.00,0.00
Source,G8,"62, 62",G8,418.00,0.00
