Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
Source,A1,IL1 Norm,A1,20.00,0.00
Source,B1,IL1 Norm,B1,20.00,0.00
Source,C1,IL1 Norm,C1,20.00,0.00
Source,D1,IL1 Norm,D1,18.22,1.78
Source,E1,IL1 Norm,E1,11.17,8.83
Source,F1,IL1 Norm,F1,20.00,0.00
Source,G1,IL1 Norm,G1,20.00,0.00
Source,H1,IL1 Norm,H1,20.00,0.00
Source,A2,IL1 Norm,A2,20.00,0.00
Source,B2,IL1 Norm,B2,2.04,17.96
Source,C2,IL1 Norm,C2,2.12,17.88
Source,D2,IL1 Norm,D2,1.93,18.07
Source,E2,IL1 Norm,E2,2.02,17.98
Source,F2,IL1 Norm,F2,2.35,17.65
Source,G2,IL1 Norm,G2,1.82,18.18
Source,H2,IL1 Norm,H2,1.62,18.38
Source,A3,IL1 Norm,A3,1.62,18.38
Source,B3,IL1 Norm,B3,1.82,18.18
Source,C3,IL1 Norm,C3,4.71,15.29
Source,D3,IL1 Norm,D3,4.15,15.85
Source,E3,IL1 Norm,E3,4.06,15.94
Source,F3,IL1 Norm,F3,4.38,15.62
Source,G3,IL1 Norm,G3,4.20,15.80
Source,H3,IL1 Norm,H3,4.31,15.69
Source,A4,IL1 Norm,A4,3.73,16.27
Source,B4,IL1 Norm,B4,3.57,16.43
Source,C4,IL1 Norm,C4,3.56,16.44
Source,D4,IL1 Norm,D4,2.91,17.09
Source,E4,IL1 Norm,E4,2.85,17.15
Source,F4,IL1 Norm,F4,3.16,16.84
Source,G4,IL1 Norm,G4,3.02,16.98
Source,H4,IL1 Norm,H4,3.48,16.52
Source,A5,IL1 Norm,A5,2.48,17.52
Source,B5,IL1 Norm,B5,2.51,17.49
Source,C5,IL1 Norm,C5,2.41,17.59
Source,D5,IL1 Norm,D5,2.54,17.46
Source,E5,IL1 Norm,E5,20.00,0.00
Source,F5,IL1 Norm,F5,3.74,16.26
Source,G5,IL1 Norm,G5,6.74,13.26
Source,H5,IL1 Norm,H5,6.85,13.15
Source,A6,IL1 Norm,A6,6.00,14.00
Source,B6,IL1 Norm,B6,6.91,13.09
Source,C6,IL1 Norm,C6,2.69,17.31
Source,D6,IL1 Norm,D6,4.31,15.69
Source,E6,IL1 Norm,E6,2.23,17.77
Source,F6,IL1 Norm,F6,7.61,12.39
Source,G6,IL1 Norm,G6,5.12,14.88
Source,H6,IL1 Norm,H6,7.98,12.02
Source,A7,IL1 Norm,A7,4.98,15.02
Source,B7,IL1 Norm,B7,7.32,12.68
Source,C7,IL1 Norm,C7,5.21,14.79
Source,D7,IL1 Norm,D7,3.95,16.05
Source,E7,IL1 Norm,E7,3.07,16.93
Source,F7,IL1 Norm,F7,6.12,13.88
Source,G7,IL1 Norm,G7,2.64,17.36
Source,H7,IL1 Norm,H7,2.49,17.51
Source,A8,IL1 Norm,A8,2.17,17.83
Source,B8,IL1 Norm,B8,2.70,17.30
Source,C8,IL1 Norm,C8,2.33,17.67
Source,D8,IL1 Norm,D8,2.78,17.22
Source,E8,IL1 Norm,E8,2.11,17.89
Source,F8,IL1 Norm,F8,2.24,17.76
Source,G8,IL1 Norm,G8,2.13,17.87
