Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
Source,A1,"58, 58",A1,50.00,0.00
Source,B1,"58, 58",B1,50.00,0.00
Source,C1,"58, 58",C1,50.00,0.00
Source,D1,"58, 58",D1,50.00,0.00
Source,E1,"58, 58",E1,50.00,0.00
Source,F1,"58, 58",F1,50.00,0.00
Source,G1,"58, 58",G1,50.00,0.00
Source,H1,"58, 58",H1,50.00,0.00
Source,A2,"58, 58",A2,50.00,0.00
Source,B2,"58, 58",B2,50.00,0.00
Source,C2,"58, 58",C2,50.00,0.00
Source,D2,"58, 58",D2,50.00,0.00
Source,E2,"58, 58",E2,50.00,0.00
Source,F2,"58, 58",F2,50.00,0.00
Source,G2,"58, 58",G2,50.00,0.00
Source,H2,"58, 58",H2,50.00,0.00
Source,A3,"58, 58",A3,50.00,0.00
Source,B3,"58, 58",B3,50.00,0.00
Source,C3,"51, 51",C3,50.00,0.00
Source,D3,"51, 51",D3,50.00,0.00
Source,E3,"51, 51",E3,50.00,0.00
Source,F3,"51, 51",F3,50.00,0.00
Source,G3,"51, 51",G3,50.00,0.00
Source,H3,"51, 51",H3,50.00,0.00
Source,A4,"51, 51",A4,50.00,0.00
Source,B4,"51, 51",B4,50.00,0.00
Source,C4,"51, 51",C4,50.00,0.00
Source,D4,"58, 58",D4,50.00,0.00
Source,E4,"58, 58",E4,50.00,0.00
Source,F4,"58, 58",F4,50.00,0.00
Source,G4,"58, 58",G4,50.00,0.00
Source,H4,"58, 58",H4,50.00,0.00
Source,A5,"58, 58",A5,50.00,0.00
Source,B5,"58, 58",B5,50.00,0.00
Source,C5,"58, 58",C5,50.00,0.00
Source,D5,"58, 58",D5,50.00,0.00
Source,E5,"58, 58",E5,50.00,0.00
Source,F5,"58, 58",F5,50.00,0.00
Source,G5,"58, 58",G5,50.00,0.00
Source,H5,"58, 58",H5,50.00,0.00
Source,A6,"58, 58",A6,50.00,0.00
Source,B6,"58, 58",B6,50.00,0.00
Source,C6,"58, 58",C6,50.00,0.00
Source,D6,"58, 58",D6,50.00,0.00
Source,E6,"58, 58",E6,50.00,0.00
Source,F6,"58, 58",F6,50.00,0.00
Source,G6,"58, 58",G6,50.00,0.00
Source,H6,"58, 58",H6,50.00,0.00
Source,A7,"58, 58",A7,50.00,0.00
Source,B7,"58, 58",B7,50.00,0.00
Source,C7,"58, 58",C7,50.00,0.00
Source,D7,"58, 58",D7,50.00,0.00
Source,E7,"58, 58",E7,50.00,0.00
Source,F7,"58, 58",F7,50.00,0.00
Source,G7,"58, 58",G7,50.00,0.00
Source,H7,"58, 58",H7,50.00,0.00
Source,A8,"58, 58",A8,50.00,0.00
Source,B8,"58, 58",B8,50.00,0.00
Source,C8,"58, 58",C8,50.00,0.00
Source,D8,"58, 58",D8,50.00,0.00
Source,E8,"58, 58",E8,50.00,0.00
Source,F8,"58, 58",F8,50.00,0.00
Source,G8,"58, 58",G8,50.00,0.00
