Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
Group54,A3,IL0 PCR Mix (Abgene),A1,24.00,0.00
Group54,A3,IL0 PCR Mix (Abgene),B1,24.00,0.00
Group54,A3,IL0 PCR Mix (Abgene),C1,24.00,0.00
Group54,A3,IL0 PCR Mix (Abgene),D1,24.00,0.00
Group54,A3,IL0 PCR Mix (Abgene),E1,24.00,0.00
Group54,B3,IL0 PCR Mix (Abgene),F1,24.00,0.00
Group54,B3,IL0 PCR Mix (Abgene),G1,24.00,0.00
Group54,B3,IL0 PCR Mix (Abgene),H1,24.00,0.00
Group54,B3,IL0 PCR Mix (Abgene),A2,24.00,0.00
Group54,B3,IL0 PCR Mix (Abgene),B2,24.00,0.00
Group54,C3,IL0 PCR Mix (Abgene),C2,24.00,0.00
Group54,C3,IL0 PCR Mix (Abgene),D2,24.00,0.00
Group54,A5,IL0 PCR Mix (Abgene),E2,24.00,0.00
Group54,A5,IL0 PCR Mix (Abgene),F2,24.00,0.00
Group54,A5,IL0 PCR Mix (Abgene),G2,24.00,0.00
Group54,A5,IL0 PCR Mix (Abgene),H2,24.00,0.00
Group54,A5,IL0 PCR Mix (Abgene),A3,24.00,0.00
Group54,B5,IL0 PCR Mix (Abgene),B3,24.00,0.00
Group54,B5,IL0 PCR Mix (Abgene),C3,24.00,0.00
Group54,B5,IL0 PCR Mix (Abgene),D3,24.00,0.00
Group54,B5,IL0 PCR Mix (Abgene),E3,24.00,0.00
Group54,B5,IL0 PCR Mix (Abgene),F3,24.00,0.00
Group54,C5,IL0 PCR Mix (Abgene),G3,24.00,0.00
Group54,C5,IL0 PCR Mix (Abgene),H3,24.00,0.00
Group54,A6,IL0 PCR Mix (Abgene),A4,24.00,0.00
Group54,A6,IL0 PCR Mix (Abgene),B4,24.00,0.00
Group54,A6,IL0 PCR Mix (Abgene),C4,24.00,0.00
Group54,A6,IL0 PCR Mix (Abgene),D4,24.00,0.00
Group54,A6,IL0 PCR Mix (Abgene),E4,24.00,0.00
Group54,B6,IL0 PCR Mix (Abgene),F4,24.00,0.00
Group54,B6,IL0 PCR Mix (Abgene),G4,24.00,0.00
Group54,B6,IL0 PCR Mix (Abgene),H4,24.00,0.00
Group54,B6,IL0 PCR Mix (Abgene),A5,24.00,0.00
