Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
IL1 PCR XP,A1,IL1 Norm,A1,2.31,19.69
IL1 PCR XP,B1,IL1 Norm,B1,4.83,17.17
IL1 PCR XP,C1,IL1 Norm,C1,5.16,16.84
IL1 PCR XP,D1,IL1 Norm,D1,2.95,19.05
IL1 PCR XP,E1,IL1 Norm,E1,2.31,19.69
IL1 PCR XP,F1,IL1 Norm,F1,3.15,18.85
IL1 PCR XP,G1,IL1 Norm,G1,2.27,19.73
IL1 PCR XP,H1,IL1 Norm,H1,1.30,20.70
IL1 PCR XP,A2,IL1 Norm,A2,1.17,20.83
IL1 PCR XP,B2,IL1 Norm,B2,6.03,15.97
IL1 PCR XP,C2,IL1 Norm,C2,5.78,16.22
IL1 PCR XP,D2,IL1 Norm,D2,5.62,16.38
IL1 PCR XP,E2,IL1 Norm,E2,5.60,16.40
IL1 PCR XP,F2,IL1 Norm,F2,5.33,16.67
IL1 PCR XP,G2,IL1 Norm,G2,5.68,16.32
IL1 PCR XP,H2,IL1 Norm,H2,5.88,16.12
IL1 PCR XP,A3,IL1 Norm,A3,5.32,16.68
IL1 PCR XP,B3,IL1 Norm,B3,5.96,16.04
IL1 PCR XP,C3,IL1 Norm,C3,10.11,11.89
IL1 PCR XP,D3,IL1 Norm,D3,11.88,10.12
IL1 PCR XP,E3,IL1 Norm,E3,7.16,14.84
IL1 PCR XP,F3,IL1 Norm,F3,8.37,13.63
IL1 PCR XP,G3,IL1 Norm,G3,6.28,15.72
IL1 PCR XP,H3,IL1 Norm,H3,12.14,9.86
IL1 PCR XP,A4,IL1 Norm,A4,2.24,19.76
IL1 PCR XP,B4,IL1 Norm,B4,1.43,20.57
IL1 PCR XP,C4,IL1 Norm,C4,1.60,20.40
IL1 PCR XP,D4,IL1 Norm,D4,22.00,0.00
IL1 PCR XP,E4,IL1 Norm,E4,22.00,0.00
IL1 PCR XP,F4,IL1 Norm,F4,22.00,0.00
IL1 PCR XP,G4,IL1 Norm,G4,22.00,0.00
IL1 PCR XP,H4,IL1 Norm,H4,22.00,0.00
IL1 PCR XP,A5,IL1 Norm,A5,9.90,12.10
IL1 PCR XP,B5,IL1 Norm,B5,12.32,9.68
IL1 PCR XP,C5,IL1 Norm,C5,3.54,18.46
IL1 PCR XP,D5,IL1 Norm,D5,2.72,19.28
IL1 PCR XP,E5,IL1 Norm,E5,21.75,0.25
IL1 PCR XP,F5,IL1 Norm,F5,22.00,0.00
IL1 PCR XP,G5,IL1 Norm,G5,22.00,0.00
IL1 PCR XP,H5,IL1 Norm,H5,22.00,0.00
IL1 PCR XP,A6,IL1 Norm,A6,18.62,3.38
IL1 PCR XP,B6,IL1 Norm,B6,2.11,19.89
IL1 PCR XP,C6,IL1 Norm,C6,2.17,19.83
IL1 PCR XP,D6,IL1 Norm,D6,3.76,18.24
IL1 PCR XP,E6,IL1 Norm,E6,2.37,19.63
IL1 PCR XP,F6,IL1 Norm,F6,21.02,0.98
IL1 PCR XP,G6,IL1 Norm,G6,22.00,0.00
IL1 PCR XP,H6,IL1 Norm,H6,22.00,0.00
IL1 PCR XP,A7,IL1 Norm,A7,22.00,0.00
IL1 PCR XP,B7,IL1 Norm,B7,12.04,9.96
IL1 PCR XP,C7,IL1 Norm,C7,3.14,18.86
IL1 PCR XP,D7,IL1 Norm,D7,2.99,19.01
IL1 PCR XP,E7,IL1 Norm,E7,1.75,20.25
IL1 PCR XP,F7,IL1 Norm,F7,2.99,19.01
IL1 PCR XP,G7,IL1 Norm,G7,22.00,0.00
IL1 PCR XP,H7,IL1 Norm,H7,22.00,0.00
IL1 PCR XP,A8,IL1 Norm,A8,22.00,0.00
IL1 PCR XP,B8,IL1 Norm,B8,22.00,0.00
IL1 PCR XP,C8,IL1 Norm,C8,22.00,0.00
IL1 PCR XP,D8,IL1 Norm,D8,22.00,0.00
IL1 PCR XP,E8,IL1 Norm,E8,22.00,0.00
IL1 PCR XP,F8,IL1 Norm,F8,22.00,0.00
IL1 PCR XP,G8,IL1 Norm,G8,22.00,0.00
IL1 PCR XP,H8,IL1 Norm,H8,22.00,0.00
IL1 PCR XP,A9,IL1 Norm,A9,22.00,0.00
