Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
MAVE_Group57,E3,IL1 PCR Mix,A1,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,B1,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,C1,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,D1,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,E1,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,F1,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,G1,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,H1,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,A2,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,B2,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,C2,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,D2,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,E2,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,F2,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,G2,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,H2,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,A3,4.00,0.00
MAVE_Group57,E3,IL1 PCR Mix,B3,4.00,0.00
MAVE_Group57,E1,IL1 PCR Mix,C3,4.00,0.00
MAVE_Group57,E1,IL1 PCR Mix,D3,4.00,0.00
MAVE_Group57,E1,IL1 PCR Mix,E3,4.00,0.00
MAVE_Group57,E1,IL1 PCR Mix,F3,4.00,0.00
MAVE_Group57,E1,IL1 PCR Mix,G3,4.00,0.00
MAVE_Group57,E1,IL1 PCR Mix,H3,4.00,0.00
MAVE_Group57,E1,IL1 PCR Mix,A4,4.00,0.00
MAVE_Group57,E1,IL1 PCR Mix,B4,4.00,0.00
MAVE_Group57,E1,IL1 PCR Mix,C4,4.00,0.00
MAVE_Group57,C2,IL1 PCR Mix,D4,4.00,0.00
MAVE_Group57,C2,IL1 PCR Mix,E4,4.00,0.00
MAVE_Group57,C2,IL1 PCR Mix,F4,4.00,0.00
MAVE_Group57,C2,IL1 PCR Mix,G4,4.00,0.00
MAVE_Group57,C2,IL1 PCR Mix,H4,4.00,0.00
MAVE_Group57,C2,IL1 PCR Mix,A5,4.00,0.00
MAVE_Group57,C2,IL1 PCR Mix,B5,4.00,0.00
MAVE_Group57,C2,IL1 PCR Mix,C5,4.00,0.00
MAVE_Group57,C2,IL1 PCR Mix,D5,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,E5,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,F5,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,G5,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,H5,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,A6,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,B6,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,C6,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,D6,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,E6,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,F6,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,G6,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,H6,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,A7,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,B7,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,C7,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,D7,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,E7,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,F7,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,G7,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,H7,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,A8,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,B8,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,C8,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,D8,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,E8,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,F8,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,G8,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,H8,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,A9,4.00,0.00
MAVE_Group57,A6,IL1 PCR Mix,B9,4.00,0.00
MAVE_Group57,B6,IL1 PCR Mix,C9,4.00,0.00
MAVE_Group57,B6,IL1 PCR Mix,D9,4.00,0.00
MAVE_Group57,B6,IL1 PCR Mix,E9,4.00,0.00
MAVE_Group57,B6,IL1 PCR Mix,F9,4.00,0.00
MAVE_Group57,B6,IL1 PCR Mix,G9,4.00,0.00
MAVE_Group57,B6,IL1 PCR Mix,H9,4.00,0.00
MAVE_Group57,E7,IL1 PCR Mix,A10,4.00,0.00
MAVE_Group57,E7,IL1 PCR Mix,B10,4.00,0.00
MAVE_Group57,E7,IL1 PCR Mix,C10,4.00,0.00
MAVE_Group57,E7,IL1 PCR Mix,D10,4.00,0.00
MAVE_Group57,E7,IL1 PCR Mix,E10,4.00,0.00
MAVE_Group57,E7,IL1 PCR Mix,F10,4.00,0.00
MAVE_Group57,G3,IL1 PCR Mix,A1,4.00,0.00
MAVE_Group57,G3,IL1 PCR Mix,B1,4.00,0.00
MAVE_Group57,G3,IL1 PCR Mix,C1,4.00,0.00
MAVE_Group57,G3,IL1 PCR Mix,D1,4.00,0.00
MAVE_Group57,G3,IL1 PCR Mix,E1,4.00,0.00
MAVE_Group57,G3,IL1 PCR Mix,F1,4.00,0.00
MAVE_Group57,G3,IL1 PCR Mix,G1,4.00,0.00
MAVE_Group57,G3,IL1 PCR Mix,H1,4.00,0.00
